,influencer,title,author_x,subtitle,id_code,identifier_type,author_y,title_en,title_pt,isbn_pt,img_amz
684,Jordan Peterson,Demons,Fyodor Dostoyevsky,,679734511,ISBN,Fyodor Dostoyevsky,Demons,,,https://images-na.ssl-images-amazon.com/images/I/71ZTGImfZZL.jpg
685,Ben Shapiro,Demons,Fyodor Dostoyevsky,,679734511,ISBN,Fyodor Dostoyevsky,Demons,,,https://images-na.ssl-images-amazon.com/images/I/71ZTGImfZZL.jpg
686,Jordan Peterson,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
687,Jocko Willink,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
688,Emma Watson,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
690,Tony Robbins,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
691,David Blaine,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
692,Jimmy Fallon,Man's Search for Meaning,Viktor E. Frankl,,807014273,ISBN,Viktor E. Frankl,Man's Search for Meaning,Em Busca De Sentido,8532606261,"https://images-na.ssl-images-amazon.com/images/I/510EGZtX6nL._SX324_BO1,204,203,200_.jpg"
693,Jordan Peterson,The Man Who Mistook His Wife For A Hat,Oliver Sacks,And Other Clinical Tales,684853949,ISBN,Oliver Sacks,The Man Who Mistook His Wife For A Hat,O homem que confundiu sua mulher com um chapéu,8571646899,https://images-na.ssl-images-amazon.com/images/I/71X90IYp3gL.jpg
694,Jordan Peterson,The Idiot,Fyodor Dostoyevsky,,375702245,ISBN,Fyodor Dostoyevsky,The Idiot,O idiota,658658812X,"https://images-na.ssl-images-amazon.com/images/I/510iiTqqhYL._SX346_BO1,204,203,200_.jpg"
695,Jordan Peterson,Words with Power,Northrop Frye,"Being a Second Study of The Bible and Literature""""",156983656,ISBN,Northrop Frye,Words with Power,,,https://images-na.ssl-images-amazon.com/images/I/71wFtxQwvPL.jpg
696,Jordan Peterson,The Origins and History of Consciousness,Erich Neumann,,691163596,ISBN,Erich Neumann,The Origins and History of Consciousness,História da Origem da Consciência,8531601967,"https://images-na.ssl-images-amazon.com/images/I/41Pcx8mZL6L._SX345_BO1,204,203,200_.jpg"
697,Jordan Peterson,The Will to Power,Friedrich Nietzsche,,394704371,ISBN,Friedrich Nietzsche,The Will to Power,Vontade de potência,8532640567,https://images-na.ssl-images-amazon.com/images/I/81noTve1kEL.jpg
698,Jordan Peterson,"Our Culture, What's Left of It",Theodore Dalrymple,The Mandarins and the Masses,156663721X,ISBN,Theodore Dalrymple,"Our Culture, What's Left of It",A Faca Entrou,8580333318,"https://images-na.ssl-images-amazon.com/images/I/511pXsZNUtL._SX388_BO1,204,203,200_.jpg"
699,Jordan Peterson,Affective Neuroscience,Jaak Panksepp,The Foundations of Human and Animal Emotions,019517805X,ISBN,Jaak Panksepp,Affective Neuroscience,,,https://m.media-amazon.com/images/I/51JJ+FWw-6L.jpg
700,Jordan Peterson,The Neuropsychology of Anxiety,Jeffrey A. Gray,An Enquiry into the Functions of the Septo-Hippocampal System,198522711,ISBN,Jeffrey A. Gray,The Neuropsychology of Anxiety,,,"https://images-na.ssl-images-amazon.com/images/I/41DGq4xIJlL._SX331_BO1,204,203,200_.jpg"
